Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
63,1,1,17,73.36,236,0
62,0,4,1,48.76,172,0
24,0,1,5,85.47,460,0
36,0,3,3,97.94,297,1
46,0,3,19,58.14,266,0
67,1,4,15,82.65,456,1
30,0,2,3,73.79,269,0
67,0,3,1,97.7,396,1
20,0,3,10,42.45,150,1
53,0,1,12,64.49,383,1
50,0,3,5,88.49,442,0
44,1,1,20,95.71,295,1
34,0,3,10,90.42,148,1
28,1,2,13,58.48,239,1
42,1,2,15,46.87,233,0
55,0,0,13,61.11,231,1
43,0,4,8,81.4,231,1
63,1,2,1,83.31,198,0
31,1,3,23,63.4,236,0
41,0,2,1,58.76,354,0
58,0,0,2,49.56,429,0
64,1,0,15,99.79,243,0
50,1,2,23,62.45,270,1
70,1,1,4,51.21,389,1
18,0,4,12,68.91,226,1
20,0,1,18,75.69,393,0
46,0,0,17,81.76,89,1
25,1,1,2,82.74,183,0
31,1,3,5,72.09,270,0
53,1,1,19,93.91,456,1
27,0,3,1,42.92,135,1
18,1,4,9,75.74,185,0
66,0,3,3,61.1,151,1
62,1,3,9,77.35,115,1
29,1,1,10,79.82,269,1
62,1,4,19,73.5,194,1
66,0,2,15,59.0,278,1
36,1,4,17,47.22,423,1
60,1,3,18,97.11,202,0
26,1,3,1,46.16,495,0
45,0,2,14,70.11,162,0
55,1,3,16,72.67,101,1
19,0,3,14,39.69,294,0
20,0,3,20,79.84,122,1
26,0,0,3,82.46,305,0
37,0,4,15,92.78,212,1
63,0,2,1,64.82,220,1
27,1,1,6,61.98,253,1
66,1,4,15,70.41,135,0
49,0,3,17,53.26,278,1
38,0,4,7,44.73,411,1
25,0,2,14,38.28,447,1
53,1,2,3,40.71,218,0
29,0,0,24,94.31,221,1
57,1,2,20,42.36,243,1
47,1,3,8,35.43,166,0
47,0,1,19,93.39,64,1
70,1,1,3,75.58,67,1
18,0,4,22,87.67,391,0
36,1,4,23,42.56,232,1
31,0,0,12,47.67,298,0
48,0,4,16,41.1,334,1
53,1,1,8,61.96,326,0
64,1,0,10,73.94,459,0
70,1,4,7,62.67,371,1
20,0,2,20,51.95,299,1
67,1,3,24,57.31,376,1
37,0,1,1,74.99,214,0
62,0,0,6,43.42,329,0
26,0,3,11,70.83,50,1
38,1,1,21,34.06,444,1
25,1,0,9,58.42,113,0
40,0,1,20,93.09,76,1
47,0,0,14,89.24,134,0
21,1,3,22,97.97,184,1
27,1,1,18,98.2,319,0
24,1,3,21,37.5,235,0
33,1,1,2,83.74,85,0
51,1,0,1,82.58,332,1
48,0,0,23,83.84,73,1
35,0,3,13,47.9,184,0
24,1,2,22,87.1,369,1
33,0,1,3,70.27,308,1
44,1,1,21,73.86,446,0
69,0,4,8,35.13,321,0
21,0,1,17,55.84,83,0
21,1,4,18,72.41,371,0
50,1,0,10,49.0,114,0
20,0,3,16,49.22,296,1
42,1,0,14,73.36,102,0
61,0,4,22,86.3,215,0
31,0,2,24,49.1,169,0
67,1,2,15,45.59,115,1
53,0,2,4,49.5,225,1
40,1,4,17,85.3,140,1
61,0,3,20,56.0,278,1
52,1,3,17,95.85,84,0
39,1,0,3,66.71,463,1
46,0,1,9,51.08,402,1
56,1,4,2,46.34,468,0
59,1,2,20,30.93,375,1
62,0,2,2,55.59,366,1
59,1,1,6,53.26,404,1
65,0,2,15,31.35,471,0
44,0,1,2,70.78,204,1
52,1,2,1,42.33,320,0
26,1,1,12,99.3,178,1
40,1,1,18,82.81,214,1
45,0,1,6,80.72,149,0
59,1,4,8,49.35,361,1
60,1,0,10,72.78,304,1
70,1,4,24,34.53,236,0
63,0,0,11,66.79,150,0
22,0,4,9,60.71,281,1
55,1,1,20,34.78,177,0
40,1,0,8,38.71,117,0
63,1,1,14,48.51,137,1
63,1,3,9,97.71,322,0
28,0,1,5,61.14,427,0
26,0,3,21,62.0,403,1
57,1,0,18,36.89,237,0
43,1,1,6,74.7,439,1
49,1,0,22,90.88,336,1
67,0,2,5,39.68,344,0
30,0,3,3,55.16,288,0
42,1,4,22,63.77,102,0
28,0,2,15,58.53,257,1
69,0,2,9,87.5,196,1
66,1,0,9,71.4,365,0
49,1,0,1,37.98,419,1
26,1,4,22,31.65,215,0
40,1,2,18,66.53,111,1
29,0,0,16,68.82,113,1
48,1,0,5,43.93,427,0
31,0,4,4,79.23,344,1
39,1,2,8,77.82,192,0
46,1,4,19,38.16,244,1
56,1,3,7,40.95,287,0
27,0,2,21,57.12,395,0
54,1,0,8,34.12,213,1
45,1,2,13,82.95,109,1
43,1,0,15,65.57,140,0
19,1,1,1,43.17,286,0
46,1,1,4,61.6,283,1
18,0,2,12,40.93,230,1
41,1,4,22,87.74,192,0
56,0,2,6,82.51,491,0
40,1,2,4,79.86,274,1
61,0,2,2,98.9,335,1
37,1,0,12,40.67,462,1
27,0,1,12,84.66,101,0
49,1,0,12,44.74,369,0
19,0,0,13,64.1,442,1
50,0,0,21,81.84,407,0
41,1,0,8,92.06,126,1
52,0,0,20,90.9,396,0
50,0,0,23,41.24,64,0
